Company Code,Fiscal Year,Posting period,Posting Date,Document Date,G/L Account,Reference,Document Currency,Tax Code,Amount in Doc. Curr.,Document Type,Value date,Text
1234,2025,8,8/25/2025,8/13/2025,13003115,1887,PLN,YI,-741.25,KA,,Vendor Document-VAT Rec Input RC
1234,2025,8,8/25/2025,8/13/2025,13003115,1967,PLN,YI,"-7,412.49",KA,,Vendor Document-VAT Rec Input RC
1234,2025,8,8/25/2025,8/13/2025,13003115,1577,PLN,YI,"-2,676.90",KA,,Vendor Document-VAT Rec Input RC
1234,2025,8,8/31/2025,8/31/2025,13003115,194,SAR,YA,"22,661.16",IP,,FX reimbursement-VAT Rec Input RC
1234,2025,8,8/26/2025,8/14/2025,13003115,1594,EUR,YI,"26,854.74",RE,8/26/2025,Invoice - Gross-VAT Rec Input RC
1234,2025,8,8/13/2025,7/3/2025,13003115,1514,EUR,YI,"2,660.36",RE,8/13/2025,Invoice - Gross-VAT Rec Input RC
1234,2025,8,8/13/2025,7/3/2025,13003115,1864,EUR,YI,295.60,RE,8/13/2025,Invoice - Gross-VAT Rec Input RC
1234,2025,8,8/18/2025,8/15/2025,13003115,1850,EUR,YA,"1,640.81",RE,8/18/2025,Invoice - Gross-VAT Rec Input RC
1234,2025,8,8/18/2025,8/15/2025,13003115,1624,EUR,YA,436.17,RE,8/18/2025,Invoice - Gross-VAT Rec Input RC
1234,2025,8,8/1/2025,7/28/2025,13003115,1838,GBP,YA,"2,896.62",RE,7/31/2025,Invoice - Gross-VAT Rec Input RC
1234,2025,8,8/1/2025,7/28/2025,13003115,1920,GBP,YA,"5,371.08",RE,7/31/2025,Invoice - Gross-VAT Rec Input RC
1234,2025,8,8/1/2025,3/13/2025,13003115,1922,USD,YI,517.50,RE,7/31/2025,Invoice - Gross-VAT Rec Input RC
1234,2025,8,8/12/2025,8/8/2025,13003115,1653,USD,YI,771.42,RE,8/12/2025,Invoice - Gross-VAT Rec Input RC
1234,2025,8,8/11/2025,8/1/2025,13003115,1775,USD,YA,"9,200.00",RE,8/11/2025,Invoice - Gross-VAT Rec Input RC
1234,2025,8,8/4/2025,8/4/2025,13003115,1842,EUR,YI,"2,660.36",RE,8/4/2025,Invoice - Gross-VAT Rec Input RC
1234,2025,8,8/4/2025,8/4/2025,13003115,1844,EUR,YI,295.60,RE,8/4/2025,Invoice - Gross-VAT Rec Input RC
