Company Code,Fiscal Year,Posting period,Posting Date,Document Date,G/L Account,Reference,Document Currency,Tax Code,Amount in Doc. Curr.,Document Type,Value date,Text
1234,2025,7,7/31/2025,7/31/2025,13003115,194,SAR,YA,"-13,954.92",IP,,FX reimbursement-VAT Rec Input RC
1234,2025,7,7/25/2025,4/17/2025,13003115,463,USD,YI,-517.50,RE,7/25/2025,Invoice - Gross-VAT Rec Input RC
1234,2025,7,7/6/2025,7/3/2025,13003115,226,EUR,YA,"8,380.44",KR,7/6/2025,Vendor Invoice-VAT Rec Input RC
1234,2025,7,7/9/2025,3/31/2025,13003115,426,EUR,YA,685.58,KR,7/9/2025,Vendor Invoice-VAT Rec Input RC
1234,2025,7,7/9/2025,3/31/2025,13003115,426,EUR,YA,596.16,KR,7/9/2025,Vendor Invoice-VAT Rec Input RC
1234,2025,7,7/7/2025,2/28/2025,13003115,597,EUR,YA,"1,736.59",KR,7/7/2025,Vendor Invoice-VAT Rec Input RC
1234,2025,7,7/7/2025,2/28/2025,13003115,597,EUR,YA,"1,510.08",KR,7/7/2025,Vendor Invoice-VAT Rec Input RC
1234,2025,7,7/17/2025,6/30/2025,13003115,567,GBP,YA,740.60,KR,7/17/2025,Vendor Invoice-VAT Rec Input RC
1234,2025,7,7/21/2025,6/19/2025,13003115,587,EUR,YI,534.75,KR,7/21/2025,Vendor Invoice-VAT Rec Input RC
1234,2025,7,7/10/2025,6/26/2025,13003115,696,GBP,YA,"4,487.30",KR,7/10/2025,Vendor Invoice-VAT Rec Input RC
1234,2025,7,7/14/2025,7/11/2025,13003115,875,EUR,YA,132.27,KR,7/14/2025,Vendor Invoice-VAT Rec Input RC
1234,2025,7,7/14/2025,7/11/2025,13003115,875,EUR,YA,"17,301.97",KR,7/14/2025,Vendor Invoice-VAT Rec Input RC
1234,2025,7,7/24/2025,6/30/2025,13003115,774,GBP,YA,"4,830.00",KR,7/24/2025,Vendor Invoice-VAT Rec Input RC
1234,2025,7,7/29/2025,7/25/2025,13003115,338,EUR,YA,646.15,KR,7/29/2025,Vendor Invoice-VAT Rec Input RC
1234,2025,7,7/16/2025,2/26/2025,13003115,713,ILS,YA,"9,200.00",RE,7/16/2025,Invoice - Gross-VAT Rec Input RC
1234,2025,7,7/16/2025,2/26/2025,13003115,713,ILS,YA,"7,200.00",RE,7/16/2025,Invoice - Gross-VAT Rec Input RC
1234,2025,7,7/8/2025,6/25/2025,13003115,426,GBP,YA,"-9,847.04",RE,7/7/2025,Invoice - Gross-VAT Rec Input RC
1234,2025,7,7/8/2025,6/25/2025,13003115,426,GBP,YA,"-4,475.92",RE,7/7/2025,Invoice - Gross-VAT Rec Input RC
1234,2025,7,7/8/2025,6/25/2025,13003115,426,GBP,YA,"-9,309.93",RE,7/7/2025,Invoice - Gross-VAT Rec Input RC
1234,2025,7,7/25/2025,3/7/2025,13003115,342,USD,YI,-517.50,RE,7/25/2025,Invoice - Gross-VAT Rec Input RC
1234,2025,7,7/25/2025,3/21/2025,13003115,767,USD,YI,"-2,587.96",RE,7/25/2025,Invoice - Gross-VAT Rec Input RC
1234,2025,7,7/25/2025,5/7/2025,13003115,382,USD,YI,-517.50,RE,7/25/2025,Invoice - Gross-VAT Rec Input RC
1234,2025,7,7/25/2025,4/4/2025,13003115,477,USD,YI,-517.50,RE,7/25/2025,Invoice - Gross-VAT Rec Input RC
1234,2025,7,7/24/2025,6/30/2025,13003115,37,USD,YA,"2,093.00",KR,7/24/2025,Vendor Invoice-VAT Rec Input RC
1234,2025,7,7/9/2025,7/9/2025,13003115,799,USD,YI,51.98,RE,7/9/2025,Invoice - Gross-VAT Rec Input RC
1234,2025,7,7/3/2025,6/26/2025,13003115,266,GBP,YA,552.31,KR,7/3/2025,Vendor Invoice-VAT Rec Input RC
1234,2025,7,7/21/2025,7/18/2025,13003115,170,EUR,YA,211.23,KR,7/21/2025,Vendor Invoice-VAT Rec Input RC
1234,2025,7,7/18/2025,7/15/2025,13003115,381,GBP,YA,"3,079.13",RE,7/18/2025,Invoice - Gross-VAT Rec Input RC
1234,2025,7,7/23/2025,7/15/2025,13003115,187,USD,YA,96.43,RE,7/23/2025,Invoice - Gross-VAT Rec Input RC
1234,2025,7,7/16/2025,7/15/2025,13003115,429,USD,YA,"3,036.00",RE,7/16/2025,Invoice - Gross-VAT Rec Input RC
1234,2025,7,7/16/2025,7/15/2025,13003115,429,USD,YA,759.00,RE,7/16/2025,Invoice - Gross-VAT Rec Input RC
1234,2025,7,7/9/2025,7/9/2025,13003115,819,USD,YI,127.42,RE,7/9/2025,Invoice - Gross-VAT Rec Input RC
1234,2025,7,7/15/2025,6/30/2025,13003115,238,EUR,YA,"3,199.71",RE,7/15/2025,Invoice - Gross-VAT Rec Input RC
1234,2025,7,7/1/2025,6/30/2025,13003115,213,GBP,YA,"3,411.67",RE,7/1/2025,Invoice - Gross-VAT Rec Input RC
1234,2025,7,7/1/2025,6/30/2025,13003115,213,GBP,YA,"2,966.67",RE,7/1/2025,Invoice - Gross-VAT Rec Input RC
1234,2025,7,7/17/2025,7/15/2025,13003115,381,GBP,YA,"9,387.31",RE,7/17/2025,Invoice - Gross-VAT Rec Input RC
1234,2025,7,7/1/2025,7/1/2025,13003115,59,USD,YA,"1,661.52",RE,7/1/2025,Invoice - Gross-VAT Rec Input RC
1234,2025,7,7/10/2025,7/10/2025,13003115,185,EUR,,"-4,090,789.44",XE,8/1/2025,RC Clear June25A
1234,2025,7,7/10/2025,7/10/2025,13003115,185,USD,,"-1,050,116.82",XE,8/1/2025,RC Clear June25A
1234,2025,7,7/10/2025,7/10/2025,13003115,185,RON,,"-116,352.17",XE,8/1/2025,RC Clear June25A
1234,2025,7,7/10/2025,7/10/2025,13003115,185,GBP,,"-392,288.30",XE,8/1/2025,RC Clear June25A
1234,2025,7,7/10/2025,7/10/2025,13003115,271,USD,,"-3,661.25",XE,8/1/2025,RC Clear June25B
1234,2025,7,7/10/2025,7/10/2025,13003115,271,EUR,,-393.76,XE,8/1/2025,RC Clear June25B
1234,2025,7,7/10/2025,7/10/2025,13003115,271,GBP,,"-9,890.42",XE,8/1/2025,RC Clear June25B
1234,2025,7,7/28/2025,6/15/2025,13003115,782,GBP,YA,"-2,479.40",RE,7/28/2025,Invoice - Gross-VAT Rec Input RC
1234,2025,7,7/29/2025,6/15/2025,13003115,925,GBP,YA,"-2,052.73",RE,7/28/2025,Invoice - Gross-VAT Rec Input RC
1234,2025,7,7/28/2025,6/15/2025,13003115,782,GBP,YA,"-2,156.00",RE,7/28/2025,Invoice - Gross-VAT Rec Input RC
1234,2025,7,7/29/2025,6/15/2025,13003115,925,GBP,YA,"-1,784.99",RE,7/28/2025,Invoice - Gross-VAT Rec Input RC
1234,2025,7,7/18/2025,7/16/2025,13003115,638,USD,YI,920.00,RE,7/18/2025,Invoice - Gross-VAT Rec Input RC
1234,2025,7,7/9/2025,7/9/2025,13003115,778,USD,YI,"1,542.84",RE,7/9/2025,Invoice - Gross-VAT Rec Input RC
1234,2025,7,7/23/2025,7/23/2025,13003115,964,USD,YI,"2,070.00",RE,7/23/2025,Invoice - Gross-VAT Rec Input RC
1234,2025,7,7/1/2025,6/30/2025,13003115,4,EUR,YI,"2,242.43",RE,6/30/2025,Invoice - Gross-VAT Rec Input RC
1234,2025,7,7/1/2025,6/30/2025,13003115,4,EUR,YI,249.16,RE,6/30/2025,Invoice - Gross-VAT Rec Input RC
1234,2025,7,7/21/2025,5/12/2025,13003115,222,GBP,YA,"28,495.85",RE,7/21/2025,Invoice - Gross-VAT Rec Input RC
